type,name,lat,long,id,fac,description,abbr,openingtimes,image,link,hideinlhmenu
accommodation,Browne House,52.622547,1.247329,127,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,,,
accommodation,Colman House (Block G),52.621609,1.245607,126,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,http://www.uea.ac.uk/polopoly/polopoly_fs/1.110659.LATEST!imageManager/813258615.jpg,,
accommodation,Colman House (Block F),52.62132105,1.246867776,125,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,,,
accommodation,Constable Terrace,52.621407,1.234353,107,,"Constable Terrace offers rooms arranged mainly in ten-person houses, with a large kitchen and dining area on the ground floor.",,,,http://www.uea.ac.uk/accommodation/student+residences/campusensuite,
accommodation,Suffolk Walk,52.620365,1.241316,104,,Our Two Bedroom Houses/Flats are available for individual students and we have a limited number of these that are availabale for UEA students who have children. For further details about individual rooms within Two Bedroom Houses please visit our <a href='https://www.uea.ac.uk/study/undergraduate/accommodation/options/two-bedroom-houses-and-flats'><strong>accomodation options</strong></a>. For further information about Family Accomodation please visit <a href='https://portal.uea.ac.uk/accommodation/students-with-families'><strong>Students with Families.</strong></a>,,,,,
accommodation,Kett House,52.622894,1.247125,128,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,,,
accommodation,Nelson Court,52.621543,1.244226,103,,"<a href='http://www.uea.ac.uk/accommodation/student+residences/campusensuite'>Nelson Court</a> offers rooms arranged mainly in ten-person houses, with a large kitchen and dining area on the ground floor.<br>  ",,,http://www.uea.ac.uk/polopoly/polopoly_fs/1.110658.LATEST!imageManager/3332993247.jpg,,
accommodation,Norfolk Terrace,52.620342,1.237271,106,,"Rooms in the architecturally unique ziggurats of <a href='http://www.uea.ac.uk/accommodation/student+residences/stadardrooms'>Norfolk and Suffolk Terrace</a> are arranged in flats of up to 12 rooms, each with own washbasin, and each flat has a large kitchen/diner overlooking the broad. Norfolk and Suffolk terrace have been recently refurbished to upgrade the shower and toilet facilities as well as the study bedrooms.",,,http://www.uea.ac.uk/polopoly_fs/1.110660!imageManager/1847405062.jpg,,
accommodation,Orwell Close,52.622089,1.247324,101,,"100 standard rooms are available in <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Orwell Close</a> and <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Wolfson Close</a>. The rooms are arranged in flats of between 5 and 12 rooms, and the size of the kitchen/diner reflects the number of people sharing. Please note these rooms do not have washbasins.",,,,,
accommodation,Paston House,52.622589,1.245017,130,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,,,
accommodation,Suffolk Terrace,52.620174,1.240125,105,,"Rooms in the architecturally unique ziggurats of <a href='http://www.uea.ac.uk/accommodation/student+residences/stadardrooms'>Norfolk and Suffolk Terrace</a> are arranged in flats of up to 12 rooms, each with own washbasin, and each flat has a large kitchen/diner overlooking the broad. Norfolk and Suffolk terrace have been recently refurbished to upgrade the shower and toilet facilities as well as the study bedrooms. ",,,,,
accommodation,University Village,52.628235,1.23719,,,"The University Village is made up of 14 buildings with individual flats and is located directly opposite the entrance to the University. Flats usually contain 6-8 rooms, and it takes approximately 8 minutes to walk to the main square on campus.",,,,https://www.uea.ac.uk/study/undergraduate/accommodation/options/en-suite-village,
accommodation,Pine - University Village,52.62938047,1.235135794,111,,,,,,,
accommodation,Willow - University Village,52.62912325,1.234969497,110,,,,,,,
accommodation,Oak - University Village,52.62802594,1.236235499,123,,,,,,,
accommodation,Beech - University Village,52.62842319,1.236723661,118,,,,,,,
accommodation,Elm - University Village,52.62878136,1.237737536,114,,,,,,,
accommodation,Hawthorne - University Village,52.62883997,1.235178709,109,,,,,,,
accommodation,Larch - University Village,52.62812037,1.236906052,121,,,,,,,
accommodation,Ash - University Village,52.62820177,1.236401796,122,,,,,,,
accommodation,Village Close (Block E) 9-12,52.62942931,1.237270832,112,,Our Two Bedroom Houses/Flats are available for individual students and we have a limited number of these that are availabale for UEA students who have children. For further details about individual rooms within Two Bedroom Houses please visit our <a href='https://www.uea.ac.uk/study/undergraduate/accommodation/options/two-bedroom-houses-and-flats'><strong>accomodation options</strong></a>. For further information about Family Accomodation please visit <a href='https://portal.uea.ac.uk/accommodation/students-with-families'><strong>Students with Families.</strong></a>,,,,,
accommodation,Village Close (Block D) 13-24,52.62911022,1.237555146,113,,Our Two Bedroom Houses/Flats are available for individual students and we have a limited number of these that are availabale for UEA students who have children. For further details about individual rooms within Two Bedroom Houses please visit our <a href='https://www.uea.ac.uk/study/undergraduate/accommodation/options/two-bedroom-houses-and-flats'><strong>accomodation options</strong></a>. For further information about Family Accomodation please visit <a href='https://portal.uea.ac.uk/accommodation/students-with-families'><strong>Students with Families.</strong></a>,,,,,
accommodation,Village Close (Block F) 5-6,52.62897672,1.237206459,115,,Our Two Bedroom Houses/Flats are available for individual students and we have a limited number of these that are availabale for UEA students who have children. For further details about individual rooms within Two Bedroom Houses please visit our <a href='https://www.uea.ac.uk/study/undergraduate/accommodation/options/two-bedroom-houses-and-flats'><strong>accomodation options</strong></a>. For further information about Family Accomodation please visit <a href='https://portal.uea.ac.uk/accommodation/students-with-families'><strong>Students with Families.</strong></a>,,,,,
accommodation,Village Close (Block G) 2-4,52.62880741,1.237238646,116,,Our Two Bedroom Houses/Flats are available for individual students and we have a limited number of these that are availabale for UEA students who have children. For further details about individual rooms within Two Bedroom Houses please visit our <a href='https://www.uea.ac.uk/study/undergraduate/accommodation/options/two-bedroom-houses-and-flats'><strong>accomodation options</strong></a>. For further information about Family Accomodation please visit <a href='https://portal.uea.ac.uk/accommodation/students-with-families'><strong>Students with Families.</strong></a>,,,,,
accommodation,Village Courtyard A,52.62799989,1.237265468,120,,,,,,,
accommodation,Village Courtyard B,52.62845901,1.237555146,119,,,,,,,
accommodation,Yew - University Village,52.62865763,1.23701334,117,,,,,,,
accommodation,Victory House,52.622639,1.24638,129,,"<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  ",,,,,
accommodation,Wolfson Close,52.621647,1.247152,102,,"100 standard rooms are available in <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html.'>Orwell Close</a> and <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Wolfson Close</a>. The rooms are arranged in flats of between 5 and 12 rooms, and the size of the kitchen/diner reflects the number of people sharing. Please note these rooms do not have washbasins. ",,,,,
accommodation,Crome Court,52.62216,1.246562,133,,"Crome Court is UEA’s newest and most energy efficient accommodation block, and the one with the strongest environmental credentials.",,,,https://www.uea.ac.uk/study/undergraduate/accommodation/options,
accommodation,Barton House,52.624341,1.246873,,,Barton House,,,,https://www.uea.ac.uk/study/postgraduate/accommodation/options/en-suite-hickling/barton,
accommodation,Hickling House,52.624712,1.24653,,,Hickling House,,,,https://www.uea.ac.uk/study/postgraduate/accommodation/options/en-suite-hickling/barton,
bandb,BroadView Lodge,52.621373,1.243357,,,"<a href='http://www.broadviewlodge.co.uk/index.htm'>Broadview Lodge</a> is Bed and Breakfast accommodation on campus. Broadview Lodge has sixty en-suite rooms, which are available all year round, ideal for a small conference, training day or indeed for leisure guests. Rooms are equipped with TV, tea and coffee making facilities, Wi-Fi internet access, alarm clock, hair dryer and an iron and ironing board.",,,,https://www.uea.ac.uk/about/visiting-staying/visitor-accommodation/broadview-lodge,
building,Bio-Medical Research Centre (BMRC),52.62106866,1.236739755,,,,,,,,
building,Biomass Energy Centre,52.62364948,1.244850755,,,,,,,,
building,Blackdale Building,52.62432031,1.245577633,BDS,,,BDS,,,,
building,Earlham Hall,52.625499,1.236646,,,,,,,,
building,Edith Cavell Building,52.61972,1.22333,,,,,,,,
building,Lawrence Stenhouse Building,52.62143503,1.237353981,,,,,,,,
building,Elizbeth Fry Building,52.621571,1.235393,,,,,,,,
building,Hubert Lamb Building,52.62184374,1.238560975,,,,,,,,
building,ITCS Building,52.621319,1.239371,,,,ITCS,,,,
building,Estates Building,52.62215148,1.238343716,,,,,,,,
building,Medical Building,52.62187956,1.234615445,,,,,,,,
building,Queen's Building,52.62120218,1.236128211,,,,,,,,
building,Registry Building,52.622505,1.241659,,,,,,,,
building,Teaching Wall: Arts 1,52.62180303,1.240253448,,,,,,,,
building,Teaching Wall: Arts 2,52.622112,1.240677,,,,,,,,
building,Teaching Wall: Biology,52.62068112,1.236501038,,,,,,,,
building,Teaching Wall: Chemisty (CAP),52.62155064,1.239317358,,,,CAP,,,,
building,Teaching Wall: Sciences,52.62144643,1.238292754,,,,,,,,
building,Thomas Paine Study Centre,52.62195121,1.236197948,,,,,,,,
building,ZICER Building,52.62173464,1.238051355,,,,,,,,
building,Music Building,52.62090746,1.242259741,,,,,,,,
building,Bob Champion Research and Education Building,52.619682,1.218946,,,,,,https://www.uea.ac.uk/polopoly_fs/1.255280!imageselect/bobchampweb.jpg,,
building,The Enterprise Centre (TEC),52.625375,1.239803,,,"Located at the gateway to the campus, and managed by the Adapt Low Carbon Group, this ground-breaking building is the region's huib for entrepreneurs, innovators and businesses that are committed to building a low carbon future.",TEC,,,http://theenterprisecentre.uea.ac.uk/,
campus_fac,Music Centre,52.62090746,1.242259741,,,,,,,,
bus_stop,"Bluebell Road, adj University Entrance",52.6225553,1.247591972,nfodjtjd,,Buses from city centre drop off here ,bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Bluebell Road, opp University Entrance",52.62222639,1.247833371,nfodjtjg,,"For buses 25, 25A and X25 to Norwich City centre and Rail Station",bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,Chancellors Drive Stop E,52.62191701,1.237227917,nfodjptm,,"For buses 25, 25A and X25 to Norwich City centre and Rail Station",bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"University Drive, Stop A",52.62282559,1.242157817,nfodjgpa,,"For buses: 25, 25A and X25 to Norwich city centre and Rail Station",bus,,,,
bus_stop,"University Drive, Stop B",52.62292654,1.243659854,nfogtgmp,,"For buses: 21, 21A, 22 to Norwich city centre via Bowthorpe",bus,,,,
bus_stop,"
Norfolk & Norwich University Hospital, Colney Lane (S-bound)",52.61868636,1.224390864,nfogpada,,For Buses: 11 and 11A (Sprowston),bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
bus_stop,"Chancellors Drive, Annexe, Stop F ",52.6217151,1.232780814,nfodmtja,,,bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
coach_stop,Chancellors Drive,52.62184211,1.237995028,nfodjptp,,"For Coaches: National Express 727 Gatwick Airport, South Terminal Bus Station",bus,,,http://www.uea.ac.uk/estates/transport/Publictransport,
